id,GEOID,County,State,TotPopDegree,PopSciEng,PopBus,PopEdu,PopArtsHumOth
0500000US01001,01001,Autauga County, Alabama,9929,2068,2335,1644,2197
0500000US01003,01003,Baldwin County, Alabama,48148,18882,10960,8129,10177
0500000US01005,01005,Barbour County, Alabama,2080,633,442,663,342
0500000US01007,01007,Bibb County, Alabama,1678,516,433,361,368
0500000US01009,01009,Blount County, Alabama,5210,1985,817,1299,1109
0500000US01011,01011,Bullock County, Alabama,856,326,163,202,165
0500000US01013,01013,Butler County, Alabama,2230,692,566,548,424
0500000US01015,01015,Calhoun County, Alabama,14620,5017,2941,3155,3507
0500000US01017,01017,Chambers County, Alabama,3163,1086,706,772,599
0500000US01019,01019,Cherokee County, Alabama,2407,1010,406,690,301
0500000US01021,01021,Chilton County, Alabama,3823,1333,960,705,825
0500000US01023,01023,Choctaw County, Alabama,1113,447,134,309,223
0500000US01025,01025,Clarke County, Alabama,2050,585,394,786,285
0500000US01027,01027,Clay County, Alabama,999,348,131,250,270
0500000US01029,01029,Cleburne County, Alabama,1616,504,276,545,291
0500000US01031,01031,Coffee County, Alabama,8044,2836,1503,1721,1984
0500000US01033,01033,Colbert County, Alabama,7070,2413,1599,1796,1262
0500000US01035,01035,Conecuh County, Alabama,1128,366,212,307,243
0500000US01037,01037,Coosa County, Alabama,1059,316,239,275,229
0500000US01039,01039,Covington County, Alabama,4020,1683,903,917,517
0500000US01041,01041,Crenshaw County, Alabama,1687,542,451,417,277
0500000US01043,01043,Cullman County, Alabama,8004,2879,1726,2035,1364
0500000US01045,01045,Dale County, Alabama,6078,2251,1409,1100,1318
0500000US01047,01047,Dallas County, Alabama,3854,1125,1113,859,757
0500000US01049,01049,DeKalb County, Alabama,6246,2151,1085,2135,875
0500000US01051,01051,Elmore County, Alabama,14060,5466,3578,2362,2654
0500000US01053,01053,Escambia County, Alabama,3224,847,729,977,671
0500000US01055,01055,Etowah County, Alabama,12815,4671,2584,3142,2418
0500000US01057,01057,Fayette County, Alabama,1451,543,281,395,232
0500000US01059,01059,Franklin County, Alabama,2907,943,517,977,470
0500000US01061,01061,Geneva County, Alabama,2331,1065,480,460,326
0500000US01063,01063,Greene County, Alabama,586,88,197,211,90
0500000US01065,01065,Hale County, Alabama,1411,476,244,456,235
0500000US01067,01067,Henry County, Alabama,2076,642,485,690,259
0500000US01069,01069,Houston County, Alabama,15672,6269,3398,2985,3020
0500000US01071,01071,Jackson County, Alabama,5175,2026,1008,1634,507
0500000US01073,01073,Jefferson County, Alabama,150124,58383,38441,19958,33342
0500000US01075,01075,Lamar County, Alabama,1174,384,324,340,126
0500000US01077,01077,Lauderdale County, Alabama,14948,5756,3063,2977,3152
0500000US01079,01079,Lawrence County, Alabama,2930,1134,496,837,463
0500000US01081,01081,Lee County, Alabama,34273,15174,6749,5318,7032
0500000US01083,01083,Limestone County, Alabama,16971,6934,4248,2887,2902
0500000US01085,01085,Lowndes County, Alabama,1037,404,259,243,131
0500000US01087,01087,Macon County, Alabama,2450,1029,403,535,483
0500000US01089,01089,Madison County, Alabama,105935,53927,24162,10409,17437
0500000US01091,01091,Marengo County, Alabama,2109,796,427,527,359
0500000US01093,01093,Marion County, Alabama,2715,762,707,815,431
0500000US01095,01095,Marshall County, Alabama,12387,4592,2776,3096,1923
0500000US01097,01097,Mobile County, Alabama,64689,26972,14871,10202,12644
0500000US01099,01099,Monroe County, Alabama,1983,630,390,704,259
