id,GEOID,County,State,MedIncPop25Plus,MedIncNoHSGrad,MedIncHSGrad,MedIncSomeCollege,MedIncBachDeg,MedIncGradProfDeg,DifNoHSGrad,DifHSGrad,DifSomeCollege,DifBachDegree,DifGradProfDeg
0500000US01001,01001,Autauga County, Alabama,40778,22813,31295,40948,51637,56380,-44,-23,0,27,38
0500000US01003,01003,Baldwin County, Alabama,37897,23202,29250,32642,50555,58411,-39,-23,-14,33,54
0500000US01005,01005,Barbour County, Alabama,27434,23099,23750,27309,50152,58209,-16,-13,0,83,112
0500000US01007,01007,Bibb County, Alabama,28789,22044,26829,27833,42688,63393,-23,-7,-3,48,120
0500000US01009,01009,Blount County, Alabama,39004,25694,32500,39641,53443,54353,-34,-17,2,37,39
0500000US01011,01011,Bullock County, Alabama,29516,28615,26992,30229,44539,75294,-3,-9,2,51,155
0500000US01013,01013,Butler County, Alabama,27354,18865,25604,27859,41818,52619,-31,-6,2,53,92
0500000US01015,01015,Calhoun County, Alabama,32473,19845,28967,32907,43864,54938,-39,-11,1,35,69
0500000US01017,01017,Chambers County, Alabama,31860,21471,28693,33170,45224,50000,-33,-10,4,42,57
0500000US01019,01019,Cherokee County, Alabama,32245,20663,31320,31806,45110,55533,-36,-3,-1,40,72
0500000US01021,01021,Chilton County, Alabama,33225,27072,30436,37603,54906,53250,-19,-8,13,65,60
0500000US01023,01023,Choctaw County, Alabama,32442,30259,32821,30691,41618,55149,-7,1,-5,28,70
0500000US01025,01025,Clarke County, Alabama,37329,26601,35566,41345,40144,52969,-29,-5,11,8,42
0500000US01027,01027,Clay County, Alabama,29477,17301,32168,33596,42188,48661,-41,9,14,43,65
0500000US01029,01029,Cleburne County, Alabama,35686,21776,35766,34813,41359,50270,-39,0,-2,16,41
0500000US01031,01031,Coffee County, Alabama,36221,26181,26642,35816,50523,59013,-28,-26,-1,39,63
0500000US01033,01033,Colbert County, Alabama,35095,22901,31038,35931,46389,55248,-35,-12,2,32,57
0500000US01035,01035,Conecuh County, Alabama,27909,32396,26030,23116,42375,60651,16,-7,-17,52,117
0500000US01037,01037,Coosa County, Alabama,30391,19091,26776,32120,46382,67589,-37,-12,6,53,122
0500000US01039,01039,Covington County, Alabama,32676,23504,29993,32595,42953,52813,-28,-8,0,31,62
0500000US01041,01041,Crenshaw County, Alabama,32092,17358,31370,31847,41103,55521,-46,-2,-1,28,73
0500000US01043,01043,Cullman County, Alabama,33157,26867,30623,33263,45093,57398,-19,-8,0,36,73
0500000US01045,01045,Dale County, Alabama,32488,22967,25841,35579,43855,53448,-29,-20,10,35,65
0500000US01047,01047,Dallas County, Alabama,28919,20409,30036,28516,35742,45841,-29,4,-1,24,59
0500000US01049,01049,DeKalb County, Alabama,31013,22623,30264,32291,43095,52402,-27,-2,4,39,69
0500000US01051,01051,Elmore County, Alabama,40519,27715,31457,38816,52179,63135,-32,-22,-4,29,56
0500000US01053,01053,Escambia County, Alabama,31524,25404,27273,30672,44306,53443,-19,-13,-3,41,70
0500000US01055,01055,Etowah County, Alabama,31424,21450,27631,31400,42642,58774,-32,-12,0,36,87
0500000US01057,01057,Fayette County, Alabama,32538,21779,29044,31667,53528,55375,-33,-11,-3,65,70
